,Class,Bugs
305,PDType3Font.java,0
306,TestCOSIncrement.java,3
307,DCTFilter.java,1
308,KerningSubtable.java,1
309,PDPageTree.java,0
310,PDFParser.java,0
311,CMapManager.java,1
312,TilingPaint.java,1
313,SecurityProvider.java,0
314,FileSystemFontProvider.java,2
315,PDFToImage.java,1
316,GlyphSubstitutionTable.java,1
317,OpenTypeFont.java,2
318,SecurityHandler.java,1
319,SimpleFont.java,0
320,Type0Font.java,0
321,XMPSchemaFactory.java,1
322,PDFStreamParser.java,1
323,PDSimpleFont.java,1
324,SampledImageReader.java,1
325,COSName.java,1
326,JPXFilter.java,1
327,PageDrawer.java,2
328,PDAcroForm.java,0
329,PDFXrefStreamParser.java,3
330,COSObject.java,0
331,DomXmpParser.java,1
332,TTFDataStream.java,1
333,TTFSubsetter.java,2
334,PDFStreamEngine.java,2
335,PDGraphicsState.java,1
336,FDFAnnotation.java,1
337,FDFAnnotationLine.java,1
338,PreflightStreamEngine.java,1
339,PDLineDashPattern.java,2
340,TestSymmetricKeyEncryption.java,1
341,StandardSecurityHandler.java,1
342,PDDocumentCatalog.java,0
343,PDICCBased.java,0
344,Type1Lexer.java,0
345,TTFParser.java,1
346,PDColor.java,0
347,PDDocument.java,1
348,MaximumProfileTable.java,0
349,PDRectangle.java,0
350,PDFMergerUtility.java,1
