Chidamber-Kemerer metrics,Wed, 1 May 2024 02:22:47 GMT-05:00
Class,CBO,DIT,LCOM,NOC,RFC,WMC
org.apache.fontbox.util.autodetect.UnixFontDirFinder,2,2,1,0,2,1
org.apache.fontbox.util.autodetect.WindowsFontDirFinder,3,1,1,0,21,15
org.apache.pdfbox.ParallelParameterized,3,5,0,0,6,2
org.apache.pdfbox.ParallelParameterized.FixedThreadPoolScheduler,1,1,1,0,13,4
org.apache.pdfbox.contentstream.PDContentStream,n/a,n/a,n/a,n/a,4,n/a
org.apache.pdfbox.contentstream.PDFGraphicsStreamEngine,73,2,14,3,16,2
org.apache.pdfbox.contentstream.PDFStreamEngine,110,1,5,4,173,93
org.apache.pdfbox.contentstream.operator.DrawObject,14,2,2,0,15,8
org.apache.pdfbox.contentstream.operator.MissingOperandException,32,4,0,0,3,1
org.apache.pdfbox.contentstream.operator.Operator,83,1,4,0,14,12
org.apache.pdfbox.contentstream.operator.OperatorName,87,1,0,0,1,1
org.apache.pdfbox.contentstream.operator.OperatorProcessor,53,1,4,38,7,6
org.apache.pdfbox.contentstream.operator.color.SetColor,17,2,2,2,11,4
org.apache.pdfbox.contentstream.operator.color.SetNonStrokingColor,14,3,2,4,8,4
org.apache.pdfbox.contentstream.operator.color.SetNonStrokingColorN,5,4,1,0,1,1
org.apache.pdfbox.contentstream.operator.color.SetNonStrokingColorSpace,12,2,2,0,10,4
org.apache.pdfbox.contentstream.operator.color.SetNonStrokingDeviceCMYKColor,14,4,2,0,7,2
org.apache.pdfbox.contentstream.operator.color.SetNonStrokingDeviceGrayColor,14,4,2,0,7,2
org.apache.pdfbox.contentstream.operator.color.SetNonStrokingDeviceRGBColor,14,4,2,0,7,2
org.apache.pdfbox.contentstream.operator.color.SetStrokingColor,14,3,2,4,8,4
org.apache.pdfbox.contentstream.operator.color.SetStrokingColorN,5,4,1,0,1,1
org.apache.pdfbox.contentstream.operator.color.SetStrokingColorSpace,12,2,2,0,10,4
org.apache.pdfbox.contentstream.operator.color.SetStrokingDeviceCMYKColor,14,4,2,0,7,2
org.apache.pdfbox.contentstream.operator.color.SetStrokingDeviceGrayColor,14,4,2,0,7,2
org.apache.pdfbox.contentstream.operator.color.SetStrokingDeviceRGBColor,14,4,2,0,7,2
org.apache.pdfbox.contentstream.operator.graphics.AppendRectangleToPath,9,3,2,0,9,4
org.apache.pdfbox.contentstream.operator.graphics.BeginInlineImage,9,3,2,0,7,3
org.apache.pdfbox.contentstream.operator.graphics.ClipEvenOddRule,5,3,2,0,3,2
org.apache.pdfbox.contentstream.operator.graphics.ClipNonZeroRule,5,3,2,0,3,2
org.apache.pdfbox.contentstream.operator.graphics.CloseAndStrokePath,6,3,2,0,3,2
org.apache.pdfbox.contentstream.operator.graphics.CloseFillEvenOddAndStrokePath,6,3,2,0,3,2
org.apache.pdfbox.contentstream.operator.graphics.CloseFillNonZeroAndStrokePath,6,3,2,0,3,2
org.apache.pdfbox.contentstream.operator.graphics.ClosePath,5,3,2,0,6,3
org.apache.pdfbox.contentstream.operator.graphics.CurveTo,9,3,2,0,13,5
org.apache.pdfbox.contentstream.operator.graphics.CurveToReplicateFinalPoint,9,3,2,0,9,4
org.apache.pdfbox.contentstream.operator.graphics.CurveToReplicateInitialPoint,9,3,2,0,15,5
org.apache.pdfbox.contentstream.operator.graphics.DrawObject,14,3,2,0,17,9
org.apache.pdfbox.contentstream.operator.graphics.EndPath,5,3,2,0,3,2
org.apache.pdfbox.contentstream.operator.graphics.FillEvenOddAndStrokePath,5,3,2,0,3,2
org.apache.pdfbox.contentstream.operator.graphics.FillEvenOddRule,5,3,2,0,3,2
org.apache.pdfbox.contentstream.operator.graphics.FillNonZeroAndStrokePath,5,3,2,0,3,2
org.apache.pdfbox.contentstream.operator.graphics.FillNonZeroRule,6,3,2,1,3,2
org.apache.pdfbox.contentstream.operator.graphics.GraphicsOperatorProcessor,24,2,1,21,2,1
org.apache.pdfbox.contentstream.operator.graphics.LegacyFillNonZeroRule,3,4,1,0,1,1
org.apache.pdfbox.contentstream.operator.graphics.LineTo,8,3,2,0,12,6
org.apache.pdfbox.contentstream.operator.graphics.MoveTo,8,3,2,0,8,5
org.apache.pdfbox.contentstream.operator.graphics.ShadingFill,7,3,2,0,6,3
org.apache.pdfbox.contentstream.operator.graphics.StrokePath,5,3,2,0,3,2
org.apache.pdfbox.contentstream.operator.markedcontent.BeginMarkedContentSequence,8,2,2,0,3,4
org.apache.pdfbox.contentstream.operator.markedcontent.BeginMarkedContentSequenceWithProperties,9,2,2,0,3,5
org.apache.pdfbox.contentstream.operator.markedcontent.DrawObject,12,2,2,0,15,7
org.apache.pdfbox.contentstream.operator.markedcontent.EndMarkedContentSequence,7,2,2,0,3,2
org.apache.pdfbox.contentstream.operator.state.Concatenate,13,2,2,0,11,4
org.apache.pdfbox.contentstream.operator.state.EmptyGraphicsStackException,2,4,0,0,2,1
org.apache.pdfbox.contentstream.operator.state.Restore,10,2,2,0,5,3
org.apache.pdfbox.contentstream.operator.state.Save,9,2,2,0,3,2
org.apache.pdfbox.contentstream.operator.state.SetFlatness,9,2,2,0,9,4
org.apache.pdfbox.contentstream.operator.state.SetGraphicsStateParameters,13,2,2,0,12,5
org.apache.pdfbox.contentstream.operator.state.SetLineCapStyle,10,2,2,0,8,3
org.apache.pdfbox.contentstream.operator.state.SetLineDashPattern,10,2,2,0,11,8
org.apache.pdfbox.contentstream.operator.state.SetLineJoinStyle,10,2,2,0,8,3
org.apache.pdfbox.contentstream.operator.state.SetLineMiterLimit,9,2,2,0,8,3
org.apache.pdfbox.contentstream.operator.state.SetLineWidth,10,2,2,0,8,3
org.apache.pdfbox.contentstream.operator.state.SetMatrix,12,2,2,0,11,4
org.apache.pdfbox.contentstream.operator.state.SetRenderingIntent,10,2,2,0,9,4
org.apache.pdfbox.contentstream.operator.text.BeginText,9,2,2,0,6,2
org.apache.pdfbox.contentstream.operator.text.EndText,8,2,2,0,5,2
