,Class,DIT,LCOM,RFC,WMC,Version
5727,org.apache.fontbox.ttf.GlyfCompositeComp,1.0,10.0,21,22.0,2.0.30
5728,org.apache.fontbox.ttf.GlyfCompositeDescript,2.0,2.0,47,36.0,2.0.30
5729,org.apache.fontbox.ttf.GlyfDescript,1.0,3.0,6,5.0,2.0.30
5730,org.apache.fontbox.ttf.GlyfSimpleDescript,2.0,4.0,18,24.0,2.0.30
5731,org.apache.fontbox.ttf.GlyphData,1.0,1.0,20,13.0,2.0.30
5732,org.apache.fontbox.ttf.GlyphRenderer,1.0,1.0,30,23.0,2.0.30
5733,org.apache.fontbox.ttf.GlyphRenderer.Point,1.0,0.0,4,5.0,2.0.30
5734,org.apache.fontbox.ttf.GlyphSubstitutionTable,2.0,1.0,60,81.0,2.0.30
5735,org.apache.fontbox.ttf.GlyphSubstitutionTable.CoverageTable,1.0,1.0,1,0.0,2.0.30
5736,org.apache.fontbox.ttf.GlyphSubstitutionTable.CoverageTableFormat1,2.0,1.0,5,2.0,2.0.30
5737,org.apache.fontbox.ttf.GlyphSubstitutionTable.CoverageTableFormat2,2.0,1.0,3,4.0,2.0.30
5738,org.apache.fontbox.ttf.GlyphSubstitutionTable.FeatureRecord,1.0,0.0,2,1.0,2.0.30
5739,org.apache.fontbox.ttf.GlyphSubstitutionTable.FeatureTable,1.0,0.0,2,1.0,2.0.30
5740,org.apache.fontbox.ttf.GlyphSubstitutionTable.LangSysRecord,1.0,0.0,2,1.0,2.0.30
5741,org.apache.fontbox.ttf.GlyphSubstitutionTable.LangSysTable,1.0,0.0,2,1.0,2.0.30
5742,org.apache.fontbox.ttf.GlyphSubstitutionTable.LookupSubTable,1.0,1.0,1,0.0,2.0.30
5743,org.apache.fontbox.ttf.GlyphSubstitutionTable.LookupTable,1.0,0.0,2,1.0,2.0.30
5744,org.apache.fontbox.ttf.GlyphSubstitutionTable.LookupTypeSingleSubstFormat1,2.0,1.0,3,3.0,2.0.30
5745,org.apache.fontbox.ttf.GlyphSubstitutionTable.LookupTypeSingleSubstFormat2,2.0,1.0,4,3.0,2.0.30
5746,org.apache.fontbox.ttf.GlyphSubstitutionTable.RangeRecord,1.0,0.0,2,1.0,2.0.30
5747,org.apache.fontbox.ttf.GlyphSubstitutionTable.ScriptRecord,1.0,0.0,2,1.0,2.0.30
5748,org.apache.fontbox.ttf.GlyphSubstitutionTable.ScriptTable,1.0,0.0,3,1.0,2.0.30
5749,org.apache.fontbox.ttf.GlyphTable,2.0,1.0,20,19.0,2.0.30
5750,org.apache.fontbox.ttf.HeaderTable,2.0,1.0,42,36.0,2.0.30
5751,org.apache.fontbox.ttf.HorizontalHeaderTable,2.0,1.0,40,36.0,2.0.30
5752,org.apache.fontbox.ttf.HorizontalMetricsTable,2.0,1.0,12,14.0,2.0.30
5753,org.apache.fontbox.ttf.IndexToLocationTable,2.0,1.0,11,8.0,2.0.30
5754,org.apache.fontbox.ttf.KerningSubtable,1.0,1.0,20,29.0,2.0.30
5755,org.apache.fontbox.ttf.KerningSubtable.PairData0Format0,1.0,2.0,6,9.0,2.0.30
5756,org.apache.fontbox.ttf.KerningTable,2.0,1.0,12,12.0,2.0.30
5757,org.apache.fontbox.ttf.MaximumProfileTable,2.0,1.0,35,33.0,2.0.30
5758,org.apache.fontbox.ttf.MemoryTTFDataStream,2.0,2.0,23,19.0,2.0.30
5759,org.apache.fontbox.ttf.NameRecord,1.0,2.0,17,16.0,2.0.30
5760,org.apache.fontbox.ttf.NamingTable,2.0,1.0,31,30.0,2.0.30
5761,org.apache.fontbox.ttf.OS2WindowsMetricsTable,2.0,1.0,80,73.0,2.0.30
5762,org.apache.fontbox.ttf.OTFParser,2.0,7.0,21,12.0,2.0.30
5763,org.apache.fontbox.ttf.OTLTable,2.0,0.0,2,1.0,2.0.30
5764,org.apache.fontbox.ttf.OpenTypeFont,2.0,1.0,19,10.0,2.0.30
5765,org.apache.fontbox.ttf.OpenTypeScript,1.0,1.0,37,21.0,2.0.30
5766,org.apache.fontbox.ttf.PostScriptTable,2.0,1.0,38,40.0,2.0.30
5767,org.apache.fontbox.ttf.RAFDataStream,2.0,2.0,24,13.0,2.0.30
5768,org.apache.fontbox.ttf.RAFDataStreamTest,1.0,1.0,3,1.0,2.0.30
5769,org.apache.fontbox.ttf.SubstitutingCmapLookup,1.0,1.0,8,3.0,2.0.30
5770,org.apache.fontbox.ttf.TTCDataStream,2.0,2.0,20,11.0,2.0.30
5771,org.apache.fontbox.ttf.TTFDataStream,1.0,8.0,34,20.0,2.0.30
5772,org.apache.fontbox.ttf.TTFParser,1.0,2.0,67,48.0,2.0.30
5773,org.apache.fontbox.ttf.TTFSubsetter,1.0,1.0,200,108.0,2.0.30
5774,org.apache.fontbox.ttf.TTFSubsetterTest,1.0,6.0,55,11.0,2.0.30
5775,org.apache.fontbox.ttf.TTFTable,1.0,6.0,11,11.0,2.0.30
5776,org.apache.fontbox.ttf.TestCMapSubtable,1.0,1.0,11,1.0,2.0.30
5777,org.apache.fontbox.ttf.TestMemoryTTFDataStream,3.0,1.0,6,2.0,2.0.30
5778,org.apache.fontbox.ttf.TestTTFParser,1.0,2.0,24,4.0,2.0.30
5779,org.apache.fontbox.ttf.TrueTypeCollection,1.0,1.0,23,15.0,2.0.30
5780,org.apache.fontbox.ttf.TrueTypeFont,1.0,2.0,104,82.0,2.0.30
5781,org.apache.fontbox.ttf.TrueTypeFontCollectionTest,1.0,1.0,4,1.0,2.0.30
5782,org.apache.fontbox.ttf.VerticalHeaderTable,2.0,1.0,23,19.0,2.0.30
5783,org.apache.fontbox.ttf.VerticalMetricsTable,2.0,1.0,12,12.0,2.0.30
